crop_yield	sample_type	country	timestamp
0.68	barley soil sample	GAZ:Australia	2011-3-26
1.0	barley soil sample	GAZ:Australia	2011-11-22
0.87	barley soil sample	GAZ:Australia	2011-6-10
0.68	barley soil sample	GAZ:Australia	2011-11-3
0.67	barley soil sample	GAZ:Australia	2011-3-26
0.81	barley soil sample	GAZ:Australia	2011-2-19
0.68	barley soil sample	GAZ:Australia	2011-2-2
0.56	barley soil sample	GAZ:Australia	2011-2-16
0.43	barley soil sample	GAZ:Australia	2011-8-12
0.76	barley soil sample	GAZ:Australia	2011-1-21
0.56	barley soil sample	GAZ:Australia	2011-2-29
0.76	barley soil sample	GAZ:Australia	2011-6-29
0.73	barley soil sample	GAZ:Australia	2011-6-19
1.15	barley soil sample	GAZ:Australia	2011-4-9
0.56	barley soil sample	GAZ:Australia	2011-4-23
0.8	barley soil sample	GAZ:Australia	2011-3-24
0.73	barley soil sample	GAZ:Australia	2011-6-18
0.73	barley soil sample	GAZ:Australia	2011-11-24
0.43	barley soil sample	GAZ:Australia	2011-3-26
0.55	barley soil sample	GAZ:Australia	2011-10-3
0.64	barley soil sample	GAZ:Australia	2011-5-23
1.16	barley soil sample	GAZ:Australia	2011-1-20
0.77	barley soil sample	GAZ:Australia	2011-6-22
0.93	barley soil sample	GAZ:Australia	2011-7-25
0.71	barley soil sample	GAZ:Australia	2011-5-16
0.76	barley soil sample	GAZ:Australia	2011-11-2
0.71	barley soil sample	GAZ:Australia	2011-11-28
0.8	barley soil sample	GAZ:Australia	2011-6-7
0.63	barley soil sample	GAZ:Australia	2011-2-14
0.86	barley soil sample	GAZ:Australia	2011-10-28
0.55	barley soil sample	GAZ:Australia	2011-4-2
0.65	barley soil sample	GAZ:Australia	2011-6-7
0.73	barley soil sample	GAZ:Australia	2011-6-20
0.63	barley soil sample	GAZ:Australia	2011-10-23
0.78	barley soil sample	GAZ:Australia	2011-6-25
0.86	barley soil sample	GAZ:Australia	2011-3-29
0.86	barley soil sample	GAZ:Australia	2011-6-15
0.73	barley soil sample	GAZ:Australia	2011-5-24
0.76	barley soil sample	GAZ:Australia	2011-9-26
0.63	barley soil sample	GAZ:Australia	2011-10-23
0.61	barley soil sample	GAZ:Australia	2011-11-15
0.69	barley soil sample	GAZ:Australia	2011-4-28
0.52	barley soil sample	GAZ:Australia	2011-10-14
0.67	barley soil sample	GAZ:Australia	2011-6-16
0.62	barley soil sample	GAZ:Australia	2011-7-6
0.75	barley soil sample	GAZ:Australia	2011-9-27
0.6	barley soil sample	GAZ:Australia	2011-4-12
0.63	barley soil sample	GAZ:Australia	2011-9-25
0.82	barley soil sample	GAZ:Australia	2011-3-3
0.65	barley soil sample	GAZ:Australia	2011-1-1
0.65	barley soil sample	GAZ:Australia	2011-1-24
0.62	barley soil sample	GAZ:Australia	2011-5-18
1.42	barley soil sample	GAZ:Australia	2011-4-29
0.7	barley soil sample	GAZ:Australia	2011-7-12
0.67	barley soil sample	GAZ:Australia	2011-3-24
0.77	barley soil sample	GAZ:Australia	2011-10-15
0.77	barley soil sample	GAZ:Australia	2011-5-23
0.64	barley soil sample	GAZ:Australia	2011-1-20
0.79	barley soil sample	GAZ:Australia	2011-3-9
1.27	barley soil sample	GAZ:Australia	2011-6-11
0.63	barley soil sample	GAZ:Australia	2011-11-2
0.66	barley soil sample	GAZ:Australia	2011-2-1
0.65	barley soil sample	GAZ:Australia	2011-2-29
0.88	barley soil sample	GAZ:Australia	2011-7-5
1.04	barley soil sample	GAZ:Australia	2011-4-4
0.6	barley soil sample	GAZ:Australia	2011-6-23
0.65	barley soil sample	GAZ:Australia	2011-11-16
0.69	barley soil sample	GAZ:Australia	2011-1-5
0.74	barley soil sample	GAZ:Australia	2011-2-26
0.73	barley soil sample	GAZ:Australia	2011-1-3
0.61	barley soil sample	GAZ:Australia	2011-6-11
0.85	barley soil sample	GAZ:Australia	2011-10-16
0.77	barley soil sample	GAZ:Australia	2011-4-5
0.71	barley soil sample	GAZ:Australia	2011-3-25
0.74	barley soil sample	GAZ:Australia	2011-3-18
0.8	barley soil sample	GAZ:Australia	2011-10-24
0.65	barley soil sample	GAZ:Australia	2011-4-6
0.0	barley soil sample	GAZ:Australia	2011-1-14
0.63	barley soil sample	GAZ:Australia	2011-9-23
0.67	barley soil sample	GAZ:Australia	2011-9-16
0.59	barley soil sample	GAZ:Australia	2011-4-3
0.73	barley soil sample	GAZ:Australia	2011-9-13
0.73	barley soil sample	GAZ:Australia	2011-7-13
0.6	barley soil sample	GAZ:Australia	2011-1-27
0.83	barley soil sample	GAZ:Australia	2011-9-28
1.02	barley soil sample	GAZ:Australia	2011-10-12
1.12	barley soil sample	GAZ:Australia	2011-8-15
0.75	barley soil sample	GAZ:Australia	2011-3-27
0.97	barley soil sample	GAZ:Australia	2011-11-3
0.52	barley soil sample	GAZ:Australia	2011-4-17
0.99	barley soil sample	GAZ:Australia	2011-10-3
0.92	barley soil sample	GAZ:Australia	2011-3-24
0.42	barley soil sample	GAZ:Australia	2011-11-21
0.6	barley soil sample	GAZ:Australia	2011-8-2
0.71	barley soil sample	GAZ:Australia	2011-11-19
0.69	barley soil sample	GAZ:Australia	2011-9-25
0.73	barley soil sample	GAZ:Australia	2011-8-15
1.09	barley soil sample	GAZ:Australia	2011-8-2
